id	page_id	batch_id	ocr_text_path	ocr_xml_path	ocr_completed	juxta_change_index	alt_change_index	noisiness_idx
2272768	2325164	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/91.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/91.xml	2014-12-14 14:17:37	0.788	0.645	NULL
2272770	2350117	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/3.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/3.xml	2014-12-14 14:17:39	0.682	0.470	NULL
2272772	2350154	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/40.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/40.xml	2014-12-14 14:17:40	0.539	0.342	NULL
2272775	2350135	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/21.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/21.xml	2014-12-14 14:17:42	0.735	0.632	NULL
2272779	2345485	1034	/data/shared/text-xml/IDHMC-ocr/341/340961/1034/9.txt	/data/shared/text-xml/IDHMC-ocr/341/340961/1034/9.xml	2014-12-14 14:17:46	0.761	0.621	NULL
2272786	2325126	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/53.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/53.xml	2014-12-14 14:17:53	0.792	0.633	NULL
2272787	2325181	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/108.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/108.xml	2014-12-14 14:17:54	0.866	0.713	NULL
2272789	2325144	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/71.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/71.xml	2014-12-14 14:17:55	0.776	0.612	NULL
2272790	2350116	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/2.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/2.xml	2014-12-14 14:17:57	0.677	0.612	NULL
2272791	2350153	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/39.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/39.xml	2014-12-14 14:17:57	0.745	0.569	NULL
2272795	2350134	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/20.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/20.xml	2014-12-14 14:17:58	0.865	0.795	NULL
2272797	2325088	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/15.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/15.xml	2014-12-14 14:17:59	0.697	0.455	NULL
2272804	2350115	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/1.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/1.xml	2014-12-14 14:18:06	0.366	0.333	NULL
